from_item_id,to_item_id,from_cost,to_total_cost,additional_cost,cross_category,temporary_slot_requirement,confidence,source_ids,notes
upgrade_containment,upgrade_aoe_root,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_high_velocity_mag,upgrade_aprounds,800,6400,5600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_improved_stamina,upgrade_arcane_surge,800,1600,800,true,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_cold_front,upgrade_arctic_blast,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_vex_barrier,upgrade_auto_cleanse,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_headshot_booster2,upgrade_banshee_slugs,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_rapid_rounds,upgrade_blitz_bullets,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_soaring_spirit,upgrade_boundless_spirit,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_lifestrike_gauntlets,upgrade_boxing_glove,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_reach,upgrade_bulletshredimbue,800,3200,2400,true,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
