item_id,name,category,tier,total_cost,is_public_shop_item,active_type,active_cooldown,verified_patch,verified_date,confidence,source_ids,notes
upgrade_extra_charge,Extra Charge,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_improved_spirit,Extra Spirit,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_goose_egg,Golden Goose Egg,Spirit,1,800,true,InstantCast,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_magic_burst,Mystic Burst,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_magic_reach,Mystic Expansion,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_mystic_regeneration,Mystic Regeneration,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_withering_whip,Rusted Barrel,Spirit,1,800,true,Press,16,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_acolytes_glove,Spirit Strike,Spirit,1,800,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_arcane_surge,Arcane Surge,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_bullet_resist_shredder,Bullet Resist Shredder,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_cold_front,Cold Front,Spirit,2,1600,true,InstantCast,25,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_magic_tempo,Compress Cooldown,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_arcane_extension,Duration Extender,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_soaring_spirit,Improved Spirit,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_magic_slow,Mystic Slow,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_magic_vulnerability,Mystic Vulnerability,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_quick_silver,Quicksilver Reload,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_containment,Slowing Hex,Spirit,2,1600,true,Press,27,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_spirit_sap,Spirit Sap,Spirit,2,1600,true,Press,18,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_suppressor,Suppressor,Spirit,2,1600,true,,,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_rupture,Decay,Spirit,3,3200,true,Press,30,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
upgrade_greater_withering_whip,Disarming Hex,Spirit,3,3200,true,Press,16,Minor Update - 08-22-2026,2026-09-02,high,"[""SRC-0004"",""SRC-0006""]","Kanonischer interner Spielschlüssel aus ItemData; Street-Brawl-Legendaries, deaktivierte und kosmetische Einträge ausgeschlossen."
