ability_id,hero_id,name,ability_slot,ability_type,is_innate,is_passive,is_active,max_upgrade_level,base_cooldown,base_charge_count,charge_restore_time,cast_type,targeting_type,verified_patch,verified_date,confidence,source_ids,notes
abrams_siphon_life,abrams,Siphon Life,1,active,false,false,true,3,42,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_bull_heal.
abrams_shoulder_charge,abrams,Shoulder Charge,2,active,false,false,true,3,33,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_bull_charge.
abrams_infernal_resilience,abrams,Infernal Resilience,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_passive_beefy.
abrams_seismic_impact,abrams,Seismic Impact,4,active,false,false,true,3,215,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_bull_leap.
apollo_disengaging_sigil,apollo,Disengaging Sigil,1,active,false,false,true,3,12,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_fencer_throwblade.
apollo_riposte,apollo,Riposte,2,channeled,false,false,true,3,22,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_fencer_riposte.
apollo_flawless_advance,apollo,Flawless Advance,3,active,false,false,true,3,26,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_fencer_lunge.
apollo_itani_lo_sahn,apollo,Itani Lo Sahn,4,channeled,false,false,true,3,145,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_fencer_ultimate.
bebop_exploding_uppercut,bebop,Exploding Uppercut,1,active,false,false,true,3,22,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_uppercut.
bebop_sticky_bomb,bebop,Sticky Bomb,2,active,false,false,true,3,18,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_sticky_bomb.
bebop_grapple_arm,bebop,Grapple Arm,3,active,false,false,true,3,23,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_hook.
bebop_hyper_beam,bebop,Hyper Beam,4,channeled,false,false,true,3,120,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_bebop_laser_beam.
billy_bashdown,billy,Bashdown,1,channeled,false,false,true,3,35,1,8,channeled,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_punkgoat_ult.
billy_rising_ram,billy,Rising Ram,2,active,false,false,true,3,32,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_punkgoat_goatflip.
billy_blasted,billy,Blasted,3,active,false,false,true,3,27,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_punkgoat_blasted.
billy_chain_gang,billy,Chain Gang,4,active,false,false,true,3,175,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_punkgoat_tether.
billy_innate,billy,Innate,innate,innate,true,true,false,0,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0013"",""HSRC-0003""]",Expliziter Innate-Abschnitt der aktuellen Heldenseite; numerische HeroData-Felder werden direkt referenziert.
calico_gloom_bombs,calico,Gloom Bombs,1,active,false,false,true,3,14,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_nano_clustergrenade.
calico_leaping_slash,calico,Leaping Slash,2,active,false,false,true,3,13,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_nano_dash.
calico_ava,calico,Ava,3,channeled,false,false,true,3,30,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_nano_catform.
calico_return_to_shadows,calico,Return to Shadows,4,channeled,false,false,true,3,115,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_nano_shadow_pulse.
celeste_light_eater,celeste,Light Eater,1,active,false,false,true,3,20,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_unicorn_radiantblast.
celeste_dazzling_trick,celeste,Dazzling Trick,2,active,false,false,true,3,34,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_unicorn_prismaticguard.
celeste_radiant_daggers,celeste,Radiant Daggers,3,charged,false,false,true,3,33,1,2,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_unicorn_luminousstrike.
celeste_shining_wonder,celeste,Shining Wonder,4,channeled,false,false,true,3,160,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_unicorn_dazzlingorb.
