ability_id,effect_id,effect_type,mechanic,value,unit,scaling_attribute,scaling_coefficient,calculation_rule,condition,trigger,target_scope,nonhero_behavior,objective_behavior,stacking,max_stacks,duration,cooldown,charge_up_time,tick_interval,confidence,source_ids,notes
abrams_siphon_life,ability_cooldown,cooldown,ability_cooldown,42,seconds,cooldown,1,,base ability state,,ability-defined,,,,,,42,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,ability_duration,stat,ability_duration,4,seconds,duration,1,,base ability state,,ability-defined,,,,,4,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,ability_unit_target_limit,targeting,ability_unit_target_limit,1,count,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,aura_modifier,special_rule,aura_modifier,BullHealAura,identifier,,,,base ability state,,ability-defined,,,,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Modifier-Verweis; die Modifier-Klasse selbst wurde nicht als ausformulierte Spielregel interpretiert.
abrams_siphon_life,aura_modifier_aura_radius,targeting,aura_modifier_aura_radius,0,meters,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,dps,damage,dps,22,damage_per_second,spirit,0.6,value = 22 + 0.6 * spirit,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,healing_factor,healing,healing_factor,70,percent,healing,1,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,non_hero_healing_factor,healing,non_hero_healing_factor,35,percent,healing,1,,base ability state,,nonhero_unit,Explicit structured field: 35 percent.,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,radius,targeting,radius,8,meters,radius,1,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,tick_rate,stat,tick_rate,0.25,seconds,,,,base ability state,,ability-defined,,,,,,,,0.25,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,ability_cooldown,cooldown,ability_cooldown,33,seconds,cooldown,1,,base ability state,,ability-defined,,,,,,33,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,ability_duration,stat,ability_duration,1.4,seconds,duration,1,,base ability state,,ability-defined,,,,,1.4,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,ability_unit_target_limit,targeting,ability_unit_target_limit,1,count,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,charge_drag_vertical_offset,charge,charge_drag_vertical_offset,30,charges,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,charge_radius,charge,charge_radius,2.2,meters,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,charge_speed_max,charge,charge_speed_max,30,units_per_second,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,collide_players_stop_time,stat,collide_players_stop_time,0.3,seconds,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,damage,damage,damage,30,damage,spirit,1.4,value = 30 + 1.4 * spirit,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,modifier_bull_charging,special_rule,modifier_bull_charging,CitadelBullCharging,identifier,,,,base ability state,,ability-defined,,,,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Modifier-Verweis; die Modifier-Klasse selbst wurde nicht als ausformulierte Spielregel interpretiert.
abrams_shoulder_charge,modifier_bull_charging_enabled_state_mask_1,stat,modifier_bull_charging_enabled_state_mask_1,AbilityMovement,identifier,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,modifier_bull_charging_enabled_state_mask_2,stat,modifier_bull_charging_enabled_state_mask_2,MantleDisabled,identifier,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,modifier_bull_charging_enabled_state_mask_3,stat,modifier_bull_charging_enabled_state_mask_3,MeleeDisabled,identifier,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,modifier_bull_charging_enabled_state_mask_4,stat,modifier_bull_charging_enabled_state_mask_4,SlidingDisabled,identifier,,,,base ability state,,ability-defined,,,,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",
