ability_id,upgrade_id,upgrade_level,ability_point_cost,effect_reference,mechanic,operation,value,unit,condition,confidence,source_ids,notes
abrams_siphon_life,abrams_siphon_life_t1,1,1,abrams_siphon_life::ability_cooldown,ability_cooldown,reduce_cooldown,-20,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,abrams_siphon_life_t2,2,2,abrams_siphon_life::ability_duration,ability_duration,add,2,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_siphon_life,abrams_siphon_life_t3,3,5,abrams_siphon_life::dps,dps,add,18,damage_per_second,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=0.12.
abrams_siphon_life,abrams_siphon_life_t3,3,5,abrams_siphon_life::dps,dps_spirit_scaling,modify_scaling,0.12,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
abrams_siphon_life,abrams_siphon_life_t3,3,5,abrams_siphon_life::radius,radius,add,2,meters,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t1,1,1,abrams_shoulder_charge::slow_percent,slow_percent,unlock,40,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t1,1,1,abrams_shoulder_charge::slow_duration,slow_duration,unlock,3,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t2,2,2,abrams_shoulder_charge::stun_duration,stun_duration,add,0.8,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t3,3,5,abrams_shoulder_charge::ability_cooldown,ability_cooldown,reduce_cooldown,-18,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t3,3,5,abrams_shoulder_charge::weapon_damage_bonus,weapon_damage_bonus,unlock,1.5,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_shoulder_charge,abrams_shoulder_charge_t3,3,5,abrams_shoulder_charge::weapon_power_increase_duration,weapon_power_increase_duration,unlock,6,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_infernal_resilience,abrams_infernal_resilience_t1,1,1,abrams_infernal_resilience::bonus_max_health,bonus_max_health,unlock,200,health,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_infernal_resilience,abrams_infernal_resilience_t2,2,2,abrams_infernal_resilience::melee_lifesteal,melee_lifesteal,unlock,18,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_infernal_resilience,abrams_infernal_resilience_t3,3,5,abrams_infernal_resilience::regen_incoming_damage_percent,regen_incoming_damage_percent,add,8,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_infernal_resilience,abrams_infernal_resilience_t3,3,5,abrams_infernal_resilience::status_resistance_percent,status_resistance_percent,unlock,20,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_seismic_impact,abrams_seismic_impact_t1,1,1,abrams_seismic_impact::ability_cooldown,ability_cooldown,reduce_cooldown,-30,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_seismic_impact,abrams_seismic_impact_t2,2,2,abrams_seismic_impact::stun_duration,stun_duration,add,0.8,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
