hero_id,name,display_name,availability,publicly_playable,release_status,verified_patch,verified_date,confidence,source_ids,notes
abrams,Abrams,Abrams,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_atlas; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
apollo,Apollo,Apollo,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_fencer; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
bebop,Bebop,Bebop,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_bebop; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
billy,Billy,Billy,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_punkgoat; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
boho,Boho,Boho,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_boho; Rohflags {""IsSelectable"":true,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006."
bomber,Bomber,Bomber,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_bomber; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
cadence,Cadence,Cadence,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_cadence; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
calico,Calico,Calico,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_nano; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
celeste,Celeste,Celeste,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_unicorn; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
drifter,Drifter,Drifter,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_drifter; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
dynamo,Dynamo,Dynamo,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_dynamo; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
fathom,Fathom,Fathom,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_slork; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
fortuna,Fortuna,Fortuna,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_fortuna; Rohflags {""IsSelectable"":true,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006."
generic_person,Generic Person,Generic Person,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_genericperson; Rohflags {""IsSelectable"":false,""IsDisabled"":false,""InDevelopment"":true,""InHeroLabs"":false}."
graf,Graf,Graf,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_graf; Rohflags {""IsSelectable"":true,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006."
graves,Graves,Graves,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_necro; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
grey_talon,Grey Talon,Grey Talon,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_orion; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
gunslinger,Gunslinger,Gunslinger,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_gunslinger; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
haze,Haze,Haze,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_haze; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
holliday,Holliday,Holliday,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_astro; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
infernus,Infernus,Infernus,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_inferno; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
ivy,Ivy,Ivy,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_tengu; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
kali,Kali,Kali,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_kali; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":false,""InHeroLabs"":false}."
kelvin,Kelvin,Kelvin,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_kelvin; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
lady_geist,Lady Geist,Lady Geist,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_ghost; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
lash,Lash,Lash,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_lash; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
mcginnis,McGinnis,McGinnis,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_forge; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
mina,Mina,Mina,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_vampirebat; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
mirage,Mirage,Mirage,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_mirage; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
mo_and_krill,Mo & Krill,Mo & Krill,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_krill; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
paige,Paige,Paige,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_bookworm; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
paradox,Paradox,Paradox,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_chrono; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
pocket,Pocket,Pocket,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_synth; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
raven,Raven,Raven,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_operative; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
rem,Rem,Rem,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_familiar; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
rutger,Rutger,Rutger,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_rutger; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
seven,Seven,Seven,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_gigawatt; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
shield_guy,Shield Guy,Shield Guy,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_shieldguy; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
shiv,Shiv,Shiv,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_shiv; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
silver,Silver,Silver,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_werewolf; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
silver_transformed,Silver (Transformed),Silver (Transformed),internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_werewolf_transformed; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006. Transformationsform von Silver; kein eigenständig öffentlich auswählbarer Held."
sinclair,Sinclair,Sinclair,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_magician; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
skyrunner,Skyrunner,Skyrunner,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_skyrunner; Rohflags {""IsSelectable"":true,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006."
