source_id,source_type,title,url,published_at,accessed_at,authority_level,client_sync_status,notes
HSRC-0001,deadlock_wiki_patch,Updates,https://deadlock.wiki/Updates,2026-08-28T21:19:53Z,2026-09-02T10:21:28Z,primary_community_wiki,current_index,No update entry after 2026-08-22 at access time.
HSRC-0002,deadlock_wiki_patch,Minor Update - 08-22-2026,"https://deadlock.wiki/Update:August_22,_2026",2026-08-22T22:56:15Z,2026-09-02T10:21:28Z,primary_community_wiki,latest_patch_verified,Revision 114029.
HSRC-0003,deadlock_wiki_data,Data:HeroData.json,https://deadlock.wiki/Data:HeroData.json,2026-08-12T23:07:18Z,2026-09-02T10:21:28Z,primary_structured_wiki,post_aug12_pre_aug22; no Aug22 base-stat changes,Revision 108817; 60 structured hero records.
HSRC-0004,deadlock_wiki_data,Data:AbilityData.json,https://deadlock.wiki/Data:AbilityData.json,2026-08-22T21:50:03Z,2026-09-02T10:21:28Z,primary_structured_wiki,same_day_as_latest_patch; Celeste values cross-checked,Revision 114011.
HSRC-0005,deadlock_wiki_data,Data:Lang en.json,https://deadlock.wiki/Data:Lang_en.json,2026-08-22T21:50:07Z,2026-09-02T10:21:28Z,primary_structured_wiki,same_export_batch_as_ability_data,Revision 114015.
HSRC-0006,deadlock_wiki_data,Data:HeroMeaningfulStats.json,https://deadlock.wiki/Data:HeroMeaningfulStats.json,2026-07-06T22:39:49Z,2026-09-02T10:21:28Z,primary_structured_wiki,field-selection metadata; not a value source,Revision 88916.
HSRC-0007,deadlock_wiki_hero_page,Heroes,https://deadlock.wiki/Heroes,2026-08-25T18:58:50Z,2026-09-02T10:21:28Z,primary_community_wiki,post_patch_public_roster,Revision 114815; explicitly lists 38 available heroes.
HSRC-0008,deadlock_wiki_ability_page,Abilities,https://deadlock.wiki/Abilities,2026-08-14T17:03:08Z,2026-09-02T10:21:28Z,primary_community_wiki,current_rules; dynamic tables may lag,"Revision 108904; unlocks, upgrade costs, charges, scaling distinctions."
HSRC-0009,deadlock_wiki_hero_page,Boon,https://deadlock.wiki/Boon,2026-07-23T01:57:01Z,2026-09-02T10:21:28Z,primary_community_wiki,current_global_progression_rules,Revision 98787.
HSRC-0010,deadlock_wiki_hero_page,Hero Comparison Table,https://deadlock.wiki/Hero_Comparison_Table,2026-07-27T22:49:14Z,2026-09-02T10:21:28Z,primary_community_wiki,pre_latest_patch; corroborative_only,Revision 103886; not used to override structured values.
HSRC-0011,deadlock_wiki_patch,Minor Update - 08-12-2026,"https://deadlock.wiki/Update:August_12,_2026",2026-08-12,2026-09-02T10:21:28Z,primary_community_wiki,included_for_hero_data_sync_check,Revision 114025.
HSRC-0012,deadlock_wiki_hero_page,Ivy,https://deadlock.wiki/Ivy,2026-08-31T19:31:08Z,2026-09-02T10:21:28Z,primary_community_wiki,post_patch,Revision 124889; explicit Innate section.
HSRC-0013,deadlock_wiki_hero_page,Billy,https://deadlock.wiki/Billy,2026-09-02T00:44:18Z,2026-09-02T10:21:28Z,primary_community_wiki,post_patch,Revision 125748; explicit Innate section.
HSRC-0014,deadlock_wiki_hero_page,Rem,https://deadlock.wiki/Rem,2026-09-01T00:05:57Z,2026-09-02T10:21:28Z,primary_community_wiki,post_patch,Revision 124942; explicit Innate section.
HSRC-0015,deadlock_wiki_hero_page,Celeste,https://deadlock.wiki/Celeste,2026-09-01T03:35:30Z,2026-09-02T10:21:28Z,primary_community_wiki,post_patch,Revision 125568; explicit Innate section.
