summon_id,effect_id,effect_type,mechanic,value,unit,scaling_attribute,scaling_coefficient,condition,trigger,target_scope,objective_behavior,stacking,max_stacks,duration,cooldown,confidence,source_ids,notes
graves_jar_of_dead_summon,skull_count,summon,skull_count,4,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::skull_count ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,skull_immune_duration,summon,skull_immune_duration,0.15,seconds,,,base ability state,,ability-defined,,,,0.15,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::skull_immune_duration ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,skull_kill_gold,summon,skull_kill_gold,7,flat,power_increase,0.5,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::skull_kill_gold ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,skull_lifetime,summon,skull_lifetime,10,seconds,duration,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::skull_lifetime ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_buff_modifier,summon,summon_buff_modifier,Summonbuff,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_buff_modifier ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_health,summon,summon_health,20,health,power_increase,1.3,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_health ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_modifier,summon,summon_modifier,Barriertracker,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_modifier ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_modifier_enabled_state_mask_1,summon,summon_modifier_enabled_state_mask_1,IgnoredByNpcTargeting,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_modifier_enabled_state_mask_1 ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_modifier_enabled_state_mask_2,summon,summon_modifier_enabled_state_mask_2,IsSmallDeployable,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_modifier_enabled_state_mask_2 ohne zusätzliche Verhaltensannahmen.
graves_jar_of_dead_summon,summon_takes_damage,summon,summon_takes_damage,1,damage,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_jar_of_dead::summon_takes_damage ohne zusätzliche Verhaltensannahmen.
graves_grasping_hands_summon,summon_count,summon,summon_count,1,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_grasping_hands::summon_count ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,grave_stone_modifier_gravestone_critical_modifier,summon,grave_stone_modifier_gravestone_critical_modifier,Gravestonecritical,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::grave_stone_modifier_gravestone_critical_modifier ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,gravestone_health,summon,gravestone_health,100,health,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::gravestone_health ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,gravestone_takes_damage,summon,gravestone_takes_damage,1,damage,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::gravestone_takes_damage ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,max_gravestones,summon,max_gravestones,3,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::max_gravestones ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_burst_count,summon,summon_burst_count,2,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_burst_count ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_burst_frequency,summon,summon_burst_frequency,0.1,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_burst_frequency ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_frequency,summon,summon_frequency,4,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_frequency ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_health,summon,summon_health,180,health,power_increase,8,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_health ohne zusätzliche Verhaltensannahmen.
