item_id,raw_field,reason,source_ids
upgrade_ability_power_shard,ImbuedCooldownMultiplier,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_ability_refresher,BulletResist,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_ability_refresher,TechResist,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_absorbing_armor,CooldownReduction,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_acolytes_glove,LightMeleeCooldownMult,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_aoe_root,TetherDuration,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_aoe_root,TetherRadius,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arcane_surge,TechRadiusMultiplierBuff,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,DamageHeight,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,NPCDamageMult,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,SlowDuration,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,SlowPercent,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,SpreadDuration,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_arctic_blast,StartRadius,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_auto_cleanse,CooldownReductionOnProc,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_auto_cleanse,VexBarrierCombatBarrier,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_banshee_slugs,DiminishingMultiplier,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_blood_tribute,TickRate,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_boxing_glove,LightMeleeCooldownMult,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_boxing_glove,NonHeroHealPct,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_bullet_armor_reduction_aura,SingleTargetPlayerMultiplier,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_bulletshredimbue,TechRadiusMultiplier,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_capacitor,BonusPerChain,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_capacitor,ChainTickRate,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_chain_lightning,BonusPerChain,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_chain_lightning,ChainTickRate,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_cheat_death,BonusMoveSpeed,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_chonky,HealthThreshold,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_cloaking_device_active,FullInvisDistance,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_cloaking_device_active,InvisAlertWhenFading,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
upgrade_cloaking_device_active,InvisCancelOnDamage,Nicht in der aktuellen Default-Infobox sichtbar; nicht als Live-Effekt übernommen (UNC-0014).,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]"
